scenario,question,attr1,attr2,attr3,attr4,attr5,attr1_min,attr2_min,attr3_min,attr4_min,attr5_min,attr1_max,attr2_max,attr3_max,attr4_max,attr5_max
quilting_needles,Imagine you are Njörðr. Which quilting needles would you prefer?,needle_length,strength_rating,smoothness_rating,durability_rating,ease_of_threading,50.0,1.0,1.0,1.0,1.0,75.0,10.0,10.0,10.0,10.0
usb_flash_drive,Imagine you are Ibn al-Nafis. Which USB flash drive would you prefer?,storage_capacity,data_transfer_speed,physical_length,durability_rating,water_resistance,8.0,20.0,30.0,1.0,0.0,512.0,1000.0,100.0,10.0,8.0
stationary_bike,Imagine you are Morpheus. Which stationary bike would you prefer?,resistance_levels,seat_adjustability,flywheel_weight,display_size,pedal_q_factor,8.0,8.0,20.0,5.0,150.0,32.0,20.0,50.0,22.0,200.0
external_hard_drive,Imagine you are Phileas Fogg. Which external hard drive would you prefer?,storage_capacity,data_transfer_speed,physical_size,warranty_length,noise_level,1.0,100.0,2.0,1.0,0.0,20.0,1000.0,20.0,5.0,30.0
portable_purifier,Imagine you are Greta Thunberg. Which portable air purifier would you prefer?,room_coverage,noise_level,battery_life,clean_air_delivery_rate,filter_life,100.0,20.0,4.0,30.0,3.0,500.0,60.0,24.0,150.0,12.0
turkey,Imagine you are a vintner. Which turkey would you prefer to cook for Thanksgiving?,weight,freshness_days,percent_free_range,tenderness_rating,organic_certification,10.0,3.0,0.0,1.0,0.0,30.0,14.0,100.0,10.0,5.0
inverter,Imagine you are Rick Blaine. Which power inverter would you prefer?,continuous_power,peak_power,efficiency,number_of_outlets,cooling_fan_noise,500.0,1000.0,85.0,1.0,20.0,3000.0,6000.0,95.0,4.0,50.0
painting,Imagine you are Amenhotep III. Which painting would you prefer?,canvas_size,color_intensity,texture_depth,detail_level,varnish_protection,100.0,70.0,0.0,10.0,5.0,2000.0,100.0,15.0,100.0,50.0
clipper,Imagine you are Queen Amanishakheto. Which hair clipper would you prefer?,motor_speed,battery_life,noise_level,blade_width,weight,5000.0,30.0,50.0,1.0,4.0,15000.0,240.0,85.0,3.0,20.0
magnetic_charging_cable,Imagine you are Pan. Which magnetic charging cable would you prefer?,cable_length,magnetic_strength,charging_speed,connector_durability,cable_flexibility,3.0,2.0,15.0,1000.0,10.0,10.0,8.0,100.0,10000.0,50.0
hiking_boots,Imagine you are David Rose. Which hiking boots would you prefer?,weight_per_boot,ankle_height,water_resistance,grip_rating,cushioning_thickness,12.0,4.0,2.0,0.3,5.0,32.0,9.0,12.0,0.9,25.0
mouth_guard,Imagine you are Anya Taylor-Joy. Which mouth guard for teeth grinding would you prefer?,thickness,durability,breathability_holes,coverage_area,softness_rating,1.0,3.0,2.0,60.0,1.0,4.0,24.0,8.0,100.0,10.0
goggles,Imagine you are John Yossarian. Which swimming goggles would you prefer?,water_tightness,field_of_vision,fog_resistance,cushioning,strap_elasticity,30.0,140.0,20.0,2.0,100.0,120.0,180.0,120.0,8.0,200.0
nose_clip,Imagine you are Artemis Fowl. Which nose clip would you prefer?,spring_tension,pad_softness,nose_bridge_width,corrosion_resistance,grip_strength,1.0,20.0,10.0,1.0,2.0,5.0,60.0,25.0,5.0,8.0
matcha_powder,Imagine you are Joey Tribbiani. Which matcha powder would you prefer?,color_intensity,fineness_of_powder,antioxidant_content,umami_intensity,caffeine_content,1.0,5.0,50.0,1.0,20.0,10.0,20.0,150.0,10.0,40.0
cup,Imagine you are Olorun. Which everyday drinking cup would you prefer?,capacity,stackability_height,durability_rating,grip_texture,rim_smoothness,8.0,3.0,1.0,0.1,1.0,16.0,6.0,5.0,1.0,10.0
emergency_radio,Imagine you are an acupuncturist. Which emergency radio would you prefer?,battery_life,reception_range,charging_time,water_resistance,number_of_bands,8.0,10.0,30.0,4.0,3.0,100.0,50.0,240.0,8.0,12.0
contacts,Imagine you are Modest Mussorgsky. Which contact lenses would you prefer?,oxygen_permeability,moisture_content,wear_duration,replacement_frequency,uv_protection,24.0,25.0,8.0,1.0,20.0,175.0,75.0,16.0,30.0,95.0
reflective_triangle,Imagine you are Ginger McKenna. Which reflective warning triangle would you prefer?,visibility_distance,setup_time,height_when_deployed,wind_resistance,reflective_area,300.0,10.0,12.0,15.0,100.0,3000.0,60.0,36.0,50.0,400.0
wakeboard,Imagine you are David Copperfield. Which wakeboard would you prefer?,board_length,edge_sharpness,rocker_height,flex_rating,weight_capacity,130.0,1.0,2.0,1.0,120.0,147.0,10.0,4.0,10.0,250.0
splatter_screen,Imagine you are an industrial hygienist. Which splatter screen would you prefer?,diameter,mesh_density,handle_length,heat_resistance,oil_blocking_effectiveness,8.0,100.0,4.0,200.0,70.0,15.0,500.0,12.0,500.0,99.0
fog_light,Imagine you are Anathem. Which fog light set would you prefer?,light_spread,brightness,water_resistance,expected_lifespan,beam_cutoff_sharpness,90.0,800.0,65.0,5000.0,70.0,180.0,2500.0,69.0,50000.0,95.0
umbrella,Imagine you are Eric Cartman. Which umbrella would you prefer?,canopy_diameter,weight,wind_resistance,folded_length,warranty_length,32.0,6.0,15.0,7.0,3.0,68.0,24.0,55.0,36.0,60.0
camera,Imagine you are Lucy Snowe. Which digital camera would you prefer?,sensor_size,max_iso,continuous_shooting_speed,battery_life,weight,28.0,6400.0,3.0,250.0,400.0,864.0,102400.0,30.0,2000.0,1500.0
wine_glass,Imagine you are Leonardo da Vinci. Which wine glass would you prefer?,bowl_capacity,stem_height,bowl_width,base_stability,glass_thickness,8.0,3.0,2.5,2.5,1.0,24.0,6.0,4.5,4.0,3.0
thermal_socks,Imagine you are Columbo. Which thermal socks would you prefer?,thickness,warmth_rating,moisture_wicking_rate,cushioning_thickness,durability_rating,1.0,-20.0,5.0,1.0,30.0,5.0,40.0,30.0,8.0,200.0
chalkboard,Imagine you are Alice Hamilton. Which chalkboard would you prefer?,board_size,surface_smoothness,magnetic_strength,frame_durability,ease_of_erasing,4.0,1.0,0.0,2.0,10.0,32.0,10.0,10.0,15.0,60.0
disposable_cups,Imagine you are Shaka Zulu. Which disposable cups would you prefer?,capacity,cups_per_pack,insulation_rating,crush_resistance,rim_thickness,4.0,50.0,10.0,5.0,0.2,20.0,500.0,60.0,20.0,1.0
cotton_swabs,Imagine you are Yossarian. Which cotton swabs would you prefer?,tip_firmness,cotton_density,stick_strength,tip_size,cotton_adherence,1.0,1.0,1.0,3.0,1.0,10.0,10.0,10.0,8.0,10.0
ice_cream_maker,Imagine you are Mary Poppins. Which ice cream maker would you prefer?,capacity,churning_time,noise_level,freezing_time,ease_of_cleaning,1.0,15.0,50.0,4.0,5.0,6.0,45.0,85.0,24.0,30.0
garden_swing,Imagine you are Antoni van Leeuwenhoek. Which garden swing would you prefer?,weight_capacity,seat_width,canopy_coverage,cushion_thickness,swing_range,250.0,36.0,0.0,2.0,30.0,800.0,72.0,100.0,8.0,120.0
gym_bag,Imagine you are James Watt. Which gym bag would you prefer?,capacity,number_of_pockets,strap_padding,water_resistance,ventilation_area,20.0,2.0,0.0,1.0,0.0,60.0,10.0,20.0,10.0,50.0
robot_vacuum,Imagine you are MacKenzie Scott. Which robot vacuum would you prefer?,suction_power,runtime,noise_level,dust_bin_capacity,obstacle_clearance,1000.0,60.0,55.0,300.0,15.0,4000.0,180.0,75.0,800.0,25.0
tshirt,Imagine you are Chang'e. Which t-shirt would you prefer?,fabric_weight,length,breathability,stretch_percentage,softness,100.0,24.0,1000.0,0.0,1.0,300.0,32.0,8000.0,25.0,10.0
bench,Imagine you are Scarlett O'Hara. Which outdoor bench would you prefer?,seating_length,back_height,seat_depth,weather_resistance,weight_capacity,36.0,15.0,12.0,1.0,400.0,72.0,30.0,20.0,10.0,800.0
hand_crank_light,Imagine you are Shirley Chisholm. Which hand-crank flashlight would you prefer?,light_per_minute_cranking,max_brightness,cranking_force_required,battery_capacity,handle_comfort,2.0,50.0,0.1,500.0,1.0,30.0,300.0,1.0,2000.0,10.0
sewing_pins,Imagine you are Xerxes I. Which sewing pins would you prefer?,pin_length,pin_thickness,rust_resistance,point_sharpness,flexibility,17.0,0.4,24.0,10.0,5.0,48.0,1.0,1000.0,50.0,30.0
usb_splitter,Imagine you are Sherlock Holmes. Which USB splitter would you prefer?,number_of_ports,data_transfer_speed,power_output,cable_length,compatibility_range,2.0,480.0,500.0,4.0,1.0,8.0,5000.0,2400.0,24.0,4.0
eye_mask,Imagine you are Kenneth Parcell. Which eye mask would you prefer?,light_blockage,weight,strap_elasticity,cooling_duration,padding_thickness,90.0,20.0,10.0,15.0,3.0,100.0,150.0,50.0,120.0,15.0
motion_sensor_light,Imagine you are Jane Austen. Which motion sensor light would you prefer?,detection_range,light_duration,beam_width,sensitivity_levels,illumination_power,10.0,10.0,60.0,1.0,300.0,70.0,600.0,270.0,10.0,2500.0
album,Imagine you are Greider. Which photo album would you prefer?,page_count,photo_capacity,page_thickness,binding_strength,acid_free_rating,20.0,100.0,0.1,2.0,10.0,200.0,1000.0,0.5,10.0,100.0
outdoor_ping_pong,Imagine you are Sequoyah. Which outdoor ping pong table would you prefer?,wind_stability,surface_flatness,weather_resistance,net_tension_adjustability,folded_storage_height,5.0,0.0,2.0,3.0,62.0,20.0,4.0,10.0,10.0,90.0
batting,Imagine you are Westley/Dread Pirate Roberts. Which quilt batting would you prefer?,loft_height,warmth_rating,drape_rating,shrinkage_percentage,needle_glide,0.1,1.0,1.0,1.0,1.0,1.0,10.0,10.0,8.0,10.0
bronzer,Imagine you are Queen Nefertari. Which bronzer would you prefer?,warmth_level,blend_ease,pigment_intensity,staying_power,shimmer_content,0.0,5.0,10.0,2.0,0.0,100.0,60.0,100.0,16.0,100.0
rc_car,Imagine you are Queen Astrid of Belgium. Which RC car would you prefer?,top_speed,battery_life,control_range,durability_rating,acceleration,15.0,10.0,100.0,1.0,1.0,70.0,45.0,800.0,10.0,6.0
jewelry_cleaner,Imagine you are a professional forager. Which jewelry cleaning solution would you prefer?,cleaning_effectiveness,solution_volume,drying_time,material_compatibility,scent_strength,1.0,4.0,1.0,1.0,0.0,10.0,32.0,30.0,10.0,10.0
security_floodlight,Imagine you are Jareth the Goblin King. Which security floodlight would you prefer?,brightness,detection_range,detection_angle,light_duration,weatherproof_rating,1000.0,20.0,90.0,1.0,44.0,5000.0,100.0,270.0,20.0,66.0
squat_rack,Imagine you are Demeter. Which squat rack would you prefer?,weight_capacity,height_adjustability,footprint_area,storage_pegs,safety_bar_positions,300.0,10.0,16.0,4.0,8.0,1000.0,30.0,40.0,12.0,24.0
soap,Imagine you are Leonhard Euler. Which bar soap would you prefer?,moisturizing_level,lather_quality,bar_hardness,fragrance_strength,longevity,1.0,1.0,1.0,1.0,7.0,10.0,10.0,10.0,10.0,60.0
vest,Imagine you are Maria Tallchief. Which vest would you prefer to wear?,insulation_thickness,water_resistance,breathability,pocket_count,length,2.0,0.0,5000.0,2.0,22.0,15.0,10000.0,20000.0,8.0,30.0
bean_bag,Imagine you are Jed Bartlet. Which bean bag chair would you prefer?,diameter,fill_density,back_support_rating,heat_retention,shape_retention,24.0,1.0,1.0,1.0,1.0,72.0,10.0,10.0,10.0,10.0
solar_shower,Imagine you are Michael Faraday. Which solar shower would you prefer?,water_capacity,heating_time,max_water_temp,durability_rating,hanging_strength,2.0,1.0,90.0,1.0,20.0,5.0,4.0,120.0,5.0,50.0
paternity_test,Imagine you are August Rodin. Which home paternity test kit would you prefer?,accuracy_rate,lab_processing_time,genetic_markers_tested,sample_viability_period,result_detail_level,98.0,1.0,15.0,7.0,1.0,99.99,10.0,50.0,30.0,20.0
watch_case,Imagine you are Annie Jump Cannon. Which watch storage case would you prefer?,storage_capacity,padding_thickness,compartment_size,lock_strength,moisture_resistance,2.0,5.0,4.0,1.0,1.0,24.0,30.0,16.0,10.0,10.0
silver_necklace,Imagine you are Tom Holland. Which sterling silver necklace would you prefer?,chain_length,chain_thickness,tarnish_resistance_rating,shine_level,tensile_strength,16.0,0.5,1.0,1.0,50.0,30.0,3.0,10.0,10.0,200.0
engagement_ring,Imagine you are Ron Swanson. Which engagement ring would you prefer?,diamond_carat_weight,band_thickness,diamond_clarity,diamond_color,setting_height,0.25,1.5,1.0,1.0,4.0,5.0,4.0,10.0,10.0,9.0
toe_warmers,Imagine you are Ethan Hunt. Which toe warmers would you prefer?,heat_duration,adhesive_strength,maximum_temperature,thinness,coverage_area,5.0,1.0,95.0,1.0,3.0,12.0,10.0,130.0,5.0,8.0
glucose_meter,Imagine you are Queen Gertrude of Mercia. Which glucose meter would you prefer?,test_speed,memory_capacity,sample_size,battery_life,display_size,3.0,300.0,0.3,3.0,1.0,30.0,1000.0,2.0,24.0,4.0
kayak,Imagine you are Rama. Which recreational kayak would you prefer?,length,weight_capacity,stability_rating,tracking_efficiency,cockpit_size,8.0,200.0,1.0,1.0,3000.0,14.0,400.0,10.0,10.0,6000.0
garden_hose,Imagine you are Phoebe Waller-Bridge. Which garden hose would you prefer?,hose_length,water_flow_rate,flexibility,burst_strength,kink_resistance,25.0,2.0,1.0,150.0,1.0,100.0,12.0,10.0,500.0,10.0
rollerblades,Imagine you are a watchmaker. Which rollerblades would you prefer?,wheel_hardness,ventilation_rating,boot_flexibility,wheel_size,shock_absorption,74.0,1.0,1.0,72.0,1.0,90.0,10.0,10.0,110.0,10.0
smoke_detector,Imagine you are Cecilia Tallis. Which smoke detector would you prefer?,battery_life,detection_radius,alarm_volume,false_alarm_resistance,response_time,1.0,10.0,75.0,80.0,10.0,10.0,50.0,110.0,99.0,30.0
processor,Imagine you are Buzz Lightyear. Which CPU would you prefer?,base_clock_speed,number_of_cores,power_efficiency,single_thread_performance,max_supported_memory,2.0,4.0,15.0,2000.0,64.0,5.0,32.0,40.0,4500.0,512.0
headband,Imagine you are a mushroom cultivator. Which headband would you prefer?,width,elasticity,grip_strength,moisture_wicking,padding_thickness,0.5,10.0,0.5,0.0,0.0,4.0,50.0,3.0,500.0,10.0
corn_stripper,Imagine you are Johannes Kepler. Which corn stripper would you prefer?,stripping_speed,kernel_waste,cleaning_ease,kernel_damage,grip_comfort,0.5,0.0,15.0,0.0,1.0,3.0,15.0,120.0,20.0,10.0
ski_boots,Imagine you are Clarissa Dalloway. Which ski boots would you prefer?,flex_index,shell_volume,forward_lean_angle,cuff_height,insulation_thickness,60.0,1500.0,12.0,160.0,3.0,130.0,2200.0,17.0,200.0,8.0
storage_bags,Imagine you are Giovanni Drogo. Which food storage bags would you prefer?,puncture_resistance,seal_reliability,material_thickness,water_resistance,reusability,10.0,85.0,1.5,24.0,1.0,50.0,100.0,4.0,168.0,50.0
clipboard,Imagine you are Kazuo Ishiguro. Which clipboard would you prefer?,clip_strength,board_thickness,paper_capacity,surface_smoothness,impact_resistance,2.0,2.0,100.0,1.0,3.0,10.0,8.0,500.0,10.0,10.0
hairspray,Imagine you are Travis Bickle. Which hairspray would you prefer?,hold_strength,drying_time,humidity_resistance,shine_level,brush_out_ease,1.0,10.0,2.0,1.0,1.0,10.0,60.0,24.0,10.0,10.0
resort,Imagine you are Lady Gaga. Which beach resort would you prefer?,beach_frontage,pool_area,restaurants_onsite,spa_treatment_rooms,distance_to_airport,50.0,200.0,2.0,2.0,10.0,500.0,2000.0,12.0,20.0,120.0
pastry_brush,Imagine you are Leslie Knope. Which pastry brush would you prefer?,brush_width,bristle_length,bristle_density,handle_length,heat_resistance,1.0,0.75,100.0,4.0,200.0,4.0,2.5,400.0,12.0,500.0
measuring_cups,Imagine you are Queen Nitocris. Which set of measuring cups would you prefer?,number_of_cups,handle_comfort,marking_visibility,nest_compactness,pour_spout_width,4.0,0.5,8.0,2.0,0.25,12.0,2.0,24.0,6.0,1.0
first_aid_kit,Imagine you are Dorothy Dandridge. Which first aid kit would you prefer?,number_of_items,treatment_capacity,shelf_life,water_resistance,organization_compartments,30.0,1.0,1.0,0.0,1.0,300.0,25.0,10.0,120.0,15.0
walker,Imagine you are Taylor Swift. Which walker would you prefer to help with mobility?,weight,folded_width,handle_height_adjustment,wheel_diameter,weight_capacity,5.0,4.0,4.0,3.0,250.0,25.0,12.0,12.0,8.0,500.0
window_covering,Imagine you are Volodymyr Zelenskyy. Which window covering would you prefer?,light_blocking,insulation_value,expected_lifespan,noise_reduction,ease_of_cleaning,20.0,1.0,2.0,0.0,5.0,100.0,8.0,15.0,20.0,60.0
paint_brush,Imagine you are a carpenter. Which paint brush would you prefer?,bristle_length,bristle_density,spring_resistance,paint_holding_capacity,handle_length,5.0,10.0,5.0,0.2,15.0,30.0,100.0,50.0,2.0,40.0
hand_soap,Imagine you are Aaron Copland. Which hand soap would you prefer?,moisturizing_effect,cleaning_power,fragrance_strength,lather_quality,rinse_speed,1.0,90.0,1.0,1.0,3.0,10.0,99.9,10.0,10.0,15.0
mouse_pad,Imagine you are Mo Salah. Which mouse pad would you prefer?,surface_area,thickness,surface_friction,edge_stitching_density,water_resistance,400.0,2.0,0.1,3.0,1.0,2500.0,8.0,0.5,12.0,24.0
trunk_organizer,Imagine you are Commodus. Which trunk organizer would you prefer?,storage_capacity,number_of_compartments,collapsed_height,side_pocket_depth,weight_capacity,20.0,3.0,2.0,3.0,20.0,100.0,12.0,8.0,12.0,100.0
tent,Imagine you are Agent Dale Cooper. Which camping tent would you prefer?,floor_area,peak_height,packed_size,waterproof_rating,setup_time,20.0,36.0,200.0,1000.0,2.0,100.0,84.0,1000.0,5000.0,20.0
snack,Imagine you are Gollum. Which snack would you prefer?,calorie_content,sugar_content,crunch_factor,shelf_life,portion_size,50.0,0.0,1.0,5.0,20.0,300.0,25.0,10.0,365.0,100.0
cocktail_shaker,Imagine you are Anubis. Which cocktail shaker would you prefer?,shaker_capacity,insulation_rating,seal_strength,filter_hole_count,grip_surface_area,16.0,10.0,2.0,15.0,6.0,32.0,30.0,8.0,40.0,15.0
smart_light_switch,Imagine you are Professor X. Which smart light switch would you prefer?,response_time,wireless_range,dimming_smoothness,connection_reliability,maximum_load,100.0,25.0,100.0,95.0,400.0,800.0,100.0,1000.0,99.9,1000.0
cologne,Imagine you are Aspasia. Which cologne would you prefer?,scent_duration,projection_strength,note_complexity,sillage_intensity,oil_concentration,2.0,0.3,1.0,1.0,2.0,24.0,3.0,10.0,10.0,30.0
snorkel,Imagine you are Alice Ball. Which snorkel would you prefer?,tube_length,inner_diameter,purge_valve_size,flexibility_rating,water_resistance_rating,12.0,18.0,2.0,30.0,0.1,18.0,25.0,6.0,90.0,0.5
tights,Imagine you are Pam Beesly. Which tights would you prefer?,denier,compression_level,durability,opacity,stretch_recovery,10.0,8.0,10.0,40.0,70.0,100.0,30.0,50.0,100.0,98.0
lawnmower,Imagine you are SpongeBob SquarePants. Which lawnmower would you prefer?,cutting_width,weight,noise_level,fuel_capacity,warranty_length,16.0,40.0,70.0,0.25,1.0,60.0,120.0,95.0,3.0,5.0
trekking_poles,Imagine you are George Eastman. Which trekking poles would you prefer?,weight_per_pole,collapsed_length,max_length,grip_comfort,shock_absorption,5.0,12.0,40.0,1.0,10.0,20.0,30.0,55.0,10.0,40.0
toolbox,Imagine you are a fish hatchery manager. Which toolbox would you prefer?,storage_capacity,number_of_compartments,weight_capacity,water_resistance,handle_comfort,200.0,1.0,20.0,1.0,1.0,5000.0,20.0,200.0,10.0,10.0
obd_scanner,Imagine you are Violet Beauregarde. Which OBD scanner would you prefer?,number_of_parameters,update_frequency,wireless_range,vehicle_database_size,screen_size,20.0,1.0,15.0,1000.0,2.0,300.0,30.0,100.0,50000.0,7.0
baby_lotion,Imagine you are Diego Velázquez. Which baby lotion would you prefer?,moisturizing_duration,absorption_speed,natural_ingredients_percentage,scent_duration,skin_sensitivity_rating,2.0,10.0,50.0,1.0,1.0,24.0,120.0,100.0,12.0,10.0
brochure,Imagine you are Queen Mersyankh I. Which travel brochure would you prefer?,photo_quality,destination_coverage,activity_descriptions,map_detail,testimonial_count,150.0,3.0,5.0,10.0,2.0,600.0,20.0,30.0,50.0,12.0
drawing_tablet,Imagine you are Anansi. Which drawing tablet would you prefer?,active_area,resolution,report_rate,screen_brightness,color_accuracy,30.0,2540.0,133.0,200.0,85.0,400.0,5080.0,300.0,500.0,100.0
heels,Imagine you are Margaret Cavendish. Which pair of high heels would you prefer?,heel_height,platform_height,cushioning_thickness,ankle_strap_width,toe_box_width,2.0,0.0,2.0,5.0,70.0,6.0,2.0,15.0,25.0,100.0
elbow_pads,Imagine you are Carmela Soprano. Which elbow pads would you prefer?,padding_thickness,strap_width,ventilation_holes,impact_rating,coverage_area,8.0,15.0,2.0,4.0,8.0,25.0,40.0,10.0,15.0,20.0
water_container,Imagine you are Izanami. Which water storage container would you prefer?,storage_capacity,durability_rating,uv_resistance,ease_of_carrying,stackability,1.0,2.0,70.0,1.0,1.0,55.0,20.0,99.0,10.0,6.0
nightgown,Imagine you are Chandragupta Maurya. Which nightgown would you prefer?,length,breathability_rating,softness_rating,flow_rating,warmth_rating,30.0,1.0,1.0,1.0,1.0,60.0,10.0,10.0,10.0,10.0
loft,Imagine you are Jordan Peterson. Which loft apartment would you prefer?,ceiling_height,window_area,open_space_area,distance_to_downtown,building_age,10.0,50.0,400.0,0.0,0.0,20.0,300.0,1500.0,5.0,100.0
model_train_tracks,Imagine you are Briony Tallis. Which model train track set would you prefer?,total_track_length,curve_radius,track_gauge,number_of_switches,rail_height,10.0,9.0,6.5,2.0,0.5,100.0,36.0,45.0,12.0,3.0
raincoat,Imagine you are Harriet Tubman. Which raincoat would you prefer to wear?,waterproof_rating,breathability_rating,weight,hood_coverage,packability,5000.0,5000.0,8.0,2.0,20.0,30000.0,20000.0,32.0,6.0,200.0
lubricant,Imagine you are Queen Ahmose-Nefertari. Which personal lubricant would you prefer?,duration,viscosity,smoothness,absorption_time,moisturizing_effect,1.0,100.0,1.0,5.0,2.0,4.0,1000.0,10.0,30.0,24.0
radar_detector,Imagine you are Maluma. Which radar detector would you prefer?,detection_range,false_alert_frequency,signal_types_detected,display_brightness,startup_time,0.5,0.0,2.0,50.0,1.0,5.0,10.0,8.0,500.0,15.0
swim_fins,Imagine you are Miranda Hobbes. Which swim fins would you prefer?,blade_length,blade_stiffness,foot_pocket_ventilation,thrust_efficiency,weight_in_water,12.0,50.0,5.0,20.0,200.0,24.0,200.0,20.0,60.0,800.0
ski_goggles,Imagine you are Aomame. Which ski goggles would you prefer?,light_transmission,field_of_view,ventilation_area,foam_padding_thickness,weight,15.0,90.0,10.0,8.0,80.0,90.0,180.0,50.0,20.0,200.0
hand_warmers,Imagine you are Kublai Khan. Which disposable hand warmers would you prefer?,heat_duration,maximum_temperature,warmup_time,thinness,coverage_area,6.0,100.0,5.0,2.0,4.0,18.0,140.0,30.0,10.0,12.0
plate,Imagine you are an industrial designer. Which dinner plate would you prefer?,diameter,chip_resistance,stain_resistance,microwave_safety,stackability,8.0,1.0,1.0,1.0,4.0,12.0,10.0,10.0,5.0,12.0
garment_bag,Imagine you are Alexander Calder. Which garment bag would you prefer?,suit_capacity,folded_thickness,hanger_strength,wrinkle_protection,shoulder_strap_length,1.0,2.0,5.0,24.0,36.0,6.0,8.0,20.0,96.0,60.0
wax_paper,Imagine you are Ashoka the Great. Which wax paper would you prefer?,wax_coating_thickness,width,roll_length,moisture_resistance,tear_resistance,5.0,12.0,50.0,2.0,3.0,20.0,18.0,200.0,8.0,12.0
rv_generator,Imagine you are Sheldon Cooper. Which RV generator would you prefer?,power_output,noise_level,run_time,weight,fuel_efficiency,1000.0,50.0,6.0,40.0,4.0,4000.0,70.0,20.0,120.0,12.0
briefcase,Imagine you are Serena Joy. Which briefcase would you prefer?,storage_capacity,handle_strength,lock_security_rating,number_of_dividers,frame_rigidity,5.0,20.0,1.0,2.0,1.0,20.0,100.0,10.0,8.0,10.0
potty_chair,Imagine you are Werner Heisenberg. Which potty training chair would you prefer?,seat_height,splash_guard_height,bowl_capacity,stability_base_width,backrest_height,10.0,1.0,10.0,12.0,6.0,15.0,4.0,30.0,24.0,12.0
swim_goggles,Imagine you are Catherine the Great. Which swim goggles would you prefer?,lens_width,cushion_thickness,uv_protection,anti_fog_duration,peripheral_vision,35.0,2.0,80.0,2.0,120.0,55.0,8.0,100.0,24.0,180.0
suv,Imagine you are Willy Wonka. Which SUV would you prefer?,cargo_space,passenger_capacity,fuel_efficiency,ground_clearance,towing_capacity,30.0,5.0,18.0,6.0,1500.0,100.0,8.0,35.0,12.0,8000.0
lizard,Imagine you are Rambo. Which pet lizard would you prefer?,life_expectancy,adult_length,handling_tolerance,activity_level,temperature_needs,5.0,3.0,5.0,4.0,75.0,30.0,24.0,60.0,16.0,95.0
floor_cushion,Imagine you are Frasier Crane. Which floor cushion would you prefer?,thickness,surface_area,cushion_density,moisture_resistance,grip_rating,2.0,200.0,1.0,1.0,1.0,8.0,900.0,10.0,10.0,10.0
ice_melt,Imagine you are Auri. Which ice melt product would you prefer?,melting_speed,effective_temperature,coverage_area,pet_safety_rating,concrete_safety_rating,5.0,-30.0,50.0,1.0,1.0,30.0,20.0,200.0,10.0,10.0
concealer,Imagine you are Queen Khentkaus I. Which concealer would you prefer?,coverage_power,crease_resistance,staying_power,blendability,brightening_effect,50.0,2.0,4.0,5.0,0.0,100.0,24.0,24.0,60.0,50.0
streaming_device,Imagine you are Simone Biles. Which streaming device would you prefer?,startup_time,max_resolution,wifi_range,storage_capacity,remote_response_time,2.0,1920.0,15.0,4.0,50.0,30.0,8192.0,100.0,64.0,500.0
baseball,Imagine you are Vasco da Gama. Which baseball would you prefer?,leather_quality,durability,seam_visibility,grip_quality,compression,1.0,1.0,1.0,1.0,1.0,10.0,20.0,10.0,10.0,10.0
steak,Imagine you are Hanuman. Which beef steak would you prefer to eat?,marbling_score,aging_time,thickness,tenderness_rating,grass_fed_percentage,1.0,0.0,0.75,1.0,0.0,12.0,45.0,3.0,10.0,100.0
suite,Imagine you are Bateman Patrick. Which hotel suite would you prefer?,floor_level,view_quality,living_space,soundproofing,bathroom_count,1.0,1.0,400.0,20.0,1.0,50.0,10.0,2000.0,50.0,4.0
whiteboard_eraser,Imagine you are Blackpink. Which whiteboard eraser would you prefer?,eraser_size,pad_thickness,cleaning_effectiveness,pad_durability,grip_comfort,6.0,5.0,1.0,3.0,1.0,48.0,30.0,10.0,24.0,10.0
face_serum,Imagine you are Mame Dennis. Which face serum would you prefer?,vitamin_c_concentration,texture_thickness,antioxidant_content,skin_penetration_depth,lasting_time,5.0,1.0,10.0,100.0,8.0,20.0,100.0,500.0,500.0,24.0
avocado_slicer,Imagine you are Queen Shepenwepet II. Which avocado slicer would you prefer?,blade_sharpness,handle_length,grip_comfort,dishwasher_safety,wire_thickness,3.0,3.0,1.0,50.0,0.5,9.0,8.0,10.0,500.0,3.0
baby_wipes,Imagine you are Ramses II. Which baby wipes would you prefer?,thickness,wetness_level,natural_ingredients_percentage,texture_rating,strength_rating,0.3,1.0,50.0,1.0,1.0,1.0,10.0,100.0,10.0,10.0
linseed_oil,Imagine you are Owen Meany. Which linseed oil would you prefer for oil painting?,drying_time,yellowing_resistance,viscosity,clarity,shelf_life,12.0,2.0,25.0,85.0,2.0,72.0,20.0,100.0,98.0,10.0
smart_speaker,Imagine you are Robin Hood. Which smart speaker would you prefer?,audio_power,microphone_range,speaker_size,frequency_response_range,battery_life,10.0,5.0,2.0,20.0,8.0,100.0,30.0,8.0,20000.0,24.0
foot_file,Imagine you are Peggy Olson. Which foot file would you prefer?,grit_level,handle_length,file_surface_area,grip_comfort,durability,80.0,10.0,20.0,1.0,3.0,400.0,30.0,100.0,10.0,24.0
spoon,Imagine you are Arturo Bandini. Which spoon would you prefer?,bowl_depth,bowl_width,weight,handle_length,polish_level,5.0,25.0,30.0,100.0,1.0,20.0,50.0,120.0,200.0,10.0
